date, pm25, pm10, o3, no2, so2, co
2018/4/9, 69, , , , , 
2018/4/10, 56, , , , , 
2018/4/11, 40, , , , , 
2018/4/12, 44, , , , , 
2018/4/13, 54, , , , , 
2018/4/14, 65, , , , , 
2018/4/15, 66, , , , , 
2018/4/16, 88, , , , , 
2018/4/17, 73, , , , , 
2018/4/18, 62, , , , , 
2018/4/19, 66, , , , , 
2018/4/20, 62, , , , , 
2018/4/21, 56, , , , , 
2018/4/22, 77, , , , , 
2018/4/23, 56, , , , , 
2018/4/24, 57, , , , , 
2018/4/25, 70, , , , , 
2018/4/26, 101, , , , , 
2018/4/27, 68, , , , , 
2018/4/28, 63, , , , , 
2018/4/29, 75, , , , , 
2018/4/30, 85, , , , , 
2018/5/1, 83, , , , , 
2018/5/2, 40, , , , , 
2018/5/3, 51, , , , , 
2018/5/4, 55, , , , , 
2018/5/5, 72, , , , , 
2018/5/6, 75, , , , , 
2018/5/7, 42, , , , , 
2018/5/8, 60, , , , , 
2018/5/9, 96, , , , , 
2018/5/10, 99, , , , , 
2018/5/11, 78, , , , , 
2018/5/12, 80, , , , , 
2018/5/13, 118, , , , , 
2018/5/14, 74, , , , , 
2018/5/15, 60, , , , , 
2018/5/16, 69, , , , , 
2018/5/17, 87, , , , , 
2018/5/18, 60, , , , , 
2018/5/19, 63, , , , , 
2018/5/20, 108, , , , , 
2018/5/21, 79, , , , , 
2018/5/22, 76, , , , , 
2018/5/23, 67, , , , , 
2018/5/24, 103, , , , , 
2018/5/25, 142, , , , , 
2018/5/26, 144, , , , , 
2018/5/27, 57, , , , , 
2018/5/28, 39, , , , , 
2018/5/29, 31, , , , , 
2018/5/30, 33, , , , , 
2018/5/31, 65, , , , , 
2018/6/1, 59, , , , , 
2018/6/2, 73, , , , , 
2018/6/3, 73, , , , , 
2018/6/4, 77, , , , , 
2018/6/5, 61, , , , , 
2018/6/6, 57, , , , , 
2018/6/7, 45, , , , , 
2018/6/8, 64, , , , , 
2018/6/9, 67, , , , , 
2018/6/10, 41, , , , , 
2018/6/11, 53, , , , , 
2018/6/12, 40, , , , , 
2018/6/13, 34, , , , , 
2018/6/14, 62, , , , , 
2018/6/15, 76, , , , , 
2018/6/16, 69, , , , , 
2018/6/17, 104, , , , , 
2018/6/18, 135, , , , , 
2018/6/19, 95, , , , , 
2018/6/20, 80, , , , , 
2018/6/21, 61, , , , , 
2018/6/22, 57, , , , , 
2018/6/23, 73, , , , , 
2018/6/24, 66, , , , , 
2018/6/25, 75, , , , , 
2018/6/26, 54, , , , , 
