date, pm25, pm10, o3, no2, so2, co
2014/11/6, 59, 35, , 7, 4, 14
2014/11/7, 35, 44, , 7, 19, 18
2014/11/8, 42, 60, , 6, 17, 26
2014/11/9, 62, 57, , 2, 15, 17
2014/11/10, 59, 47, , 4, 18, 18
2014/11/11, 61, 55, , 5, 14, 34
2014/11/12, 57, 63, , 5, 17, 20
2014/11/13, 54, 66, , 4, 17, 23
2014/11/14, 60, 58, , 3, 16, 20
2014/11/15, 59, 48, , 3, 12, 16
2014/11/16, 55, 40, , 5, 11, 17
2014/11/17, 54, 30, , 4, 13, 13
2014/11/18, 49, 37, , 5, 16, 14
2014/11/19, 53, 44, , 4, 21, 17
2014/11/20, 52, 56, , 4, 24, 17
2014/11/21, 60, 47, , 4, 18, 16
2014/11/22, 56, 44, , 3, 25, 17
2014/11/23, 57, 40, , 4, 14, 13
2014/11/24, 59, 41, , 6, 22, 23
2014/11/25, 49, 60, , 4, 22, 26
2014/11/26, 61, 47, , 4, 13, 18
2014/11/27, 56, 51, , 5, 24, 32
2014/11/28, 63, 42, , 4, 8, 17
2014/11/29, 55, 44, , 4, 20, 29
2014/11/30, 47, 69, , 3, 20, 26
2014/12/1, 57, 52, , 3, 18, 22
2014/12/2, 61, 53, , 4, 13, 18
2014/12/3, 60, 50, , 5, 10, 20
2014/12/4, 58, 51, , 4, 7, 18
2014/12/5, 61, 33, , 4, 5, 13
2014/12/6, 33, 21, , 3, 6, 14
2014/12/7, 19, 36, , 5, 20, 22
2014/12/8, 41, 61, , 2, 21, 23
2014/12/9, 63, 64, , 4, 20, 28
2014/12/10, 67, 65, , 5, 12, 18
2014/12/11, 63, 46, , 4, 13, 17
2014/12/12, 52, 59, , 5, 20, 22
2014/12/13, 62, , , , , 
2014/12/21, 44, , , , , 
2014/12/23, 60, 61, , 5, 11, 26
2014/12/24, 61, 66, , 2, 20, 28
2014/12/25, 59, 54, , 1, 8, 26
2014/12/26, 56, , , , , 
2014/7/2, 85, 35, , 11, 10, 21
2014/7/3, 65, 48, , 16, 4, 22
2014/7/4, 92, 32, , 12, 9, 21
2014/7/5, 58, 46, , 12, 4, 22
2014/7/6, 81, 57, , 9, 3, 23
2014/7/7, 107, 56, , 10, 3, 23
2014/7/8, 96, 48, , 11, 4, 18
2014/7/9, 68, 63, , 13, 4, 20
2014/7/10, 88, 69, , 12, 5, 21
2014/7/11, 104, 54, , 5, 7, 15
2014/7/12, 91, , , , , 
2014/7/15, 37, 26, , 10, 3, 14
2014/7/16, 36, 18, , 4, 1, 14
2014/7/17, 34, 24, , 9, 5, 14
2014/7/18, 58, 50, , 10, 3, 18
